,Potential_Customer,Cust_Last_Purchase,InAct_Last,InAct_First,Status_Cust,Status_Latest_Ad,Age,Gender,Cust_Prop,Cust_Ann_Income,total_pur_3years,total_pur_5years,total_ad_res_1year,total_ad_res_3years,total_ad_res_5years
0,1,5.0,14,110,A,0,71.0,F,H,65957.0,4,21,35,60,89
1,1,30.0,18,75,A,1,79.0,M,U,65957.0,1,10,19,41,77
2,0,20.0,19,57,S,1,79.0,F,U,65957.0,8,17,20,52,75
3,1,20.0,5,113,A,0,73.0,F,U,76293.0,1,14,25,46,104
4,1,5.0,17,118,S,1,68.0,F,H,113663.0,5,22,19,40,87
5,1,10.0,16,120,A,1,67.0,F,H,62230.0,8,27,20,50,105
6,0,13.0,24,111,A,1,78.0,M,H,62230.0,6,20,17,49,90
7,0,13.0,20,58,A,0,48.0,M,H,62230.0,2,6,14,33,50
8,1,13.0,24,122,S,1,49.0,F,H,56828.0,7,25,9,40,87
9,0,10.0,16,104,S,1,63.0,M,H,56828.0,8,28,20,50,102
10,0,10.0,19,40,S,1,73.0,M,H,56828.0,3,6,17,36,45
11,0,10.0,17,41,S,1,71.0,F,H,56828.0,12,16,19,51,54
12,0,10.0,16,123,S,1,37.0,F,H,56828.0,7,40,17,47,103
13,1,10.0,18,128,S,1,45.0,F,H,87665.0,4,26,22,51,114
14,0,20.0,17,128,A,1,42.0,F,H,87665.0,8,28,21,50,117
15,0,20.0,15,125,E,1,17.0,F,H,87665.0,2,35,12,34,99
16,1,20.0,26,65,A,0,76.0,M,H,87665.0,1,6,14,32,62
17,0,25.0,16,28,A,1,40.0,F,H,87665.0,3,3,19,33,35
18,1,25.0,17,17,F,0,80.0,M,H,87665.0,2,2,14,21,18
19,0,25.0,17,33,A,0,37.0,M,U,100910.0,7,8,19,47,44
20,0,25.0,15,87,S,1,37.0,F,H,165543.0,4,16,34,60,84
21,0,25.0,22,77,A,1,77.0,F,U,165543.0,8,15,15,45,72
22,0,25.0,18,110,A,1,62.0,F,H,73899.0,1,14,19,39,95
23,0,25.0,17,17,F,0,43.0,F,H,107105.0,2,2,14,21,18
24,0,25.0,26,81,A,1,41.0,M,U,107105.0,1,19,16,37,84
25,0,25.0,15,44,A,0,67.0,M,U,107105.0,6,9,19,50,54
26,1,25.0,16,124,A,1,67.0,F,H,107272.0,4,21,13,31,79
27,0,5.0,18,76,A,1,79.0,M,H,107272.0,4,12,19,48,78
28,1,5.0,16,68,S,1,68.0,M,H,107272.0,7,18,17,46,80
29,1,26.0,17,130,A,1,68.0,M,H,66090.0,1,15,17,29,84
30,1,5.0,16,128,S,1,76.0,M,H,66090.0,8,37,16,41,92
31,0,14.0,17,75,S,1,67.0,M,U,66090.0,15,36,18,49,78
32,0,14.0,17,126,A,1,27.0,M,H,66090.0,3,49,31,64,193
33,0,14.0,17,57,A,0,43.0,M,U,66090.0,2,7,19,47,62
34,0,14.0,16,16,F,0,43.0,F,H,73671.0,1,1,15,20,18
35,0,14.0,17,81,S,1,65.0,F,U,73671.0,9,25,19,49,86
36,1,14.0,16,44,A,0,69.0,F,H,67047.0,3,5,17,41,46
37,1,15.0,17,17,F,0,69.0,F,U,67047.0,2,2,13,20,19
38,1,12.0,25,86,A,0,67.0,M,U,76594.0,4,15,20,50,78
39,1,12.0,15,130,S,1,67.0,M,H,76594.0,9,34,20,47,109
40,0,15.0,22,35,A,0,35.0,M,H,76594.0,7,8,18,48,48
41,1,15.0,17,45,A,0,71.0,M,H,106020.0,3,9,33,62,78
42,1,15.0,26,81,A,1,71.0,F,U,106020.0,3,15,15,46,77
43,0,10.0,17,17,F,0,51.0,F,H,106020.0,2,2,15,22,19
44,0,10.0,16,129,S,1,85.0,F,H,106020.0,6,31,18,44,99
45,1,10.0,21,104,S,1,70.0,F,H,40165.0,13,39,18,49,101
46,0,25.0,17,44,S,1,50.0,F,U,40165.0,11,13,11,40,46
47,0,25.0,18,69,A,0,50.0,M,H,40165.0,3,9,19,45,68
48,1,25.0,10,17,F,0,50.0,F,H,89773.0,2,5,33,40,38
49,1,15.0,17,45,S,1,50.0,M,H,89773.0,6,11,19,50,56
50,0,4.0,16,110,S,1,62.0,M,H,87767.0,5,34,35,67,145
51,1,4.0,15,107,A,1,62.0,F,U,87767.0,10,29,14,38,85
52,0,25.0,17,104,A,0,53.0,F,H,87767.0,1,13,19,37,92
53,0,25.0,17,76,A,1,69.0,M,H,87767.0,2,7,19,38,69
54,0,25.0,25,42,A,0,66.0,F,U,87767.0,5,7,17,48,48
55,1,25.0,15,17,N,0,66.0,M,H,87767.0,2,3,19,25,22
56,0,40.0,24,24,N,0,53.0,F,H,118487.0,2,2,10,24,22
57,1,40.0,18,44,A,0,43.0,M,H,72452.0,1,4,19,41,58
58,0,10.0,26,45,A,0,49.0,F,H,59240.0,2,5,13,34,50
59,1,10.0,17,93,S,1,60.0,F,H,54341.0,21,80,46,79,189
60,1,25.0,21,21,F,0,42.0,F,H,54341.0,2,2,16,26,24
61,0,15.0,5,68,L,0,67.0,F,U,54341.0,4,15,40,67,93
62,1,15.0,18,28,A,0,41.0,M,H,42613.0,3,3,15,34,31
63,1,11.0,17,40,S,1,72.0,F,H,42613.0,10,13,19,47,45
64,0,20.0,21,29,A,0,65.0,M,H,42613.0,4,4,19,40,36
65,0,20.0,20,20,F,0,67.0,M,H,58282.0,1,1,14,20,21
66,1,20.0,21,21,F,0,35.0,F,U,40014.0,2,2,14,24,21
67,0,20.0,15,15,F,0,35.0,M,U,93202.0,1,1,15,19,18
68,0,20.0,17,93,A,0,35.0,M,H,122794.0,2,9,19,44,75
69,1,20.0,24,81,A,0,17.0,M,H,122794.0,3,6,18,48,66
70,1,8.0,17,28,A,1,73.0,F,H,122794.0,10,11,19,36,34
71,1,6.0,16,116,S,1,50.0,M,H,70182.0,8,34,18,43,103
72,0,15.0,18,33,A,0,43.0,M,U,60513.0,4,5,18,44,41
73,0,15.0,15,17,N,0,43.0,F,H,59456.0,2,3,17,24,21
74,1,15.0,24,75,A,0,44.0,F,H,59456.0,2,7,14,33,67
